jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
glen grissillo,1483.72,1500.0,1500.0,1500.0,1483.44,1500.0,1500.0,1500.0,0,1483.72
rodolphe gilbert,1539.53,1681.37,1498.8,1430.42,1521.6,1635.88,1519.65,1573.79,0,1539.53
lloyd bourne,1578.59,1744.01,1511.89,1561.93,1504.41,1533.34,1664.66,1661.33,0,1578.59
peter gerads,1483.18,1500.0,1481.42,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.18
gordon jones,1512.1,1522.27,1500.0,1500.0,1502.82,1500.0,1500.0,1516.44,0,1512.1
shibu lal,1469.64,1500.0,1500.0,1500.0,1469.82,1500.0,1500.0,1500.0,0,1469.64
milen velev,1519.29,1571.2,1535.38,1500.0,1467.66,1579.01,1500.0,1500.0,0,1519.29
scott oudsema,1484.57,1507.98,1500.0,1487.29,1492.86,1500.0,1500.0,1516.28,0,1484.57
javier marti,1457.56,1503.94,1442.35,1495.84,1492.91,1500.57,1513.95,1500.0,0,1457.56
daniel langre,1515.18,1515.18,1500.0,1500.0,1515.32,1500.0,1500.0,1515.32,0,1515.18
paul mcnamee,1626.85,1859.83,1663.01,1668.04,1554.83,1784.37,1748.78,1652.77,0,1626.85
geoff stubbs,1508.44,1522.25,1500.0,1505.74,1500.0,1500.0,1521.02,1500.0,0,1508.44
aisam-ul-haq qureshi,1569.16,1628.94,1525.91,1564.56,1514.27,1525.91,1616.11,1546.55,0,1569.16
abd hazli bin zainuddin,1469.86,1500.0,1500.0,1500.0,1469.91,1500.0,1500.0,1500.0,0,1469.86
balazs veress,1502.92,1502.92,1500.0,1500.0,1502.61,1500.0,1500.0,1502.61,0,1502.92
matthew barton,1563.62,1569.07,1506.35,1506.56,1539.38,1514.9,1515.22,1546.21,0,1563.62
roland russo,1468.95,1500.0,1500.0,1468.86,1500.0,1500.0,1500.0,1500.0,0,1490.72
dede suhendar dinata,1472.89,1500.0,1483.18,1500.0,1484.19,1500.0,1500.0,1500.0,0,1472.89
john van lottum,1485.42,1707.43,1464.99,1480.53,1495.47,1545.15,1575.98,1680.28,0,1485.42
rafael moreno,1487.32,1561.28,1503.22,1500.0,1472.28,1583.02,1500.0,1500.0,0,1487.32
bob hewitt,1526.46,1969.12,1578.32,1611.33,1532.38,1896.53,1792.28,1800.42,0,1526.46
na sulistyono,1500.58,1500.58,1500.74,1500.0,1500.0,1500.74,1500.0,1500.0,0,1500.58
bjorn phau,1585.98,1654.6,1537.61,1378.47,1543.25,1553.29,1500.0,1638.22,0,1585.98
gary kesl,1432.95,1500.0,1436.41,1483.3,1500.0,1500.0,1500.0,1500.0,0,1432.95
peter wright,1446.19,1500.0,1460.35,1486.17,1487.67,1500.0,1500.0,1504.99,0,1446.19
brian hung,1515.13,1515.13,1500.0,1500.0,1515.12,1500.0,1500.0,1515.12,0,1515.13
freddie de jesus,1435.58,1500.0,1466.72,1477.72,1427.47,1500.0,1500.0,1500.0,0,1435.58
david lewis,1442.41,1535.36,1496.5,1471.68,1448.56,1517.37,1500.0,1519.83,0,1442.41
denis naegelen,1498.32,1589.86,1529.45,1513.88,1430.67,1581.83,1527.31,1500.0,0,1498.32
takeshi omono,1488.78,1500.0,1500.0,1500.0,1487.68,1500.0,1500.0,1500.0,0,1488.78
jaime cortes,1501.58,1529.4,1478.99,1500.0,1532.63,1500.64,1500.0,1532.63,0,1501.58
dave michau,1455.04,1516.0,1500.0,1484.2,1468.23,1500.0,1500.0,1516.0,0,1455.04
michael sangster,1477.49,1570.93,1471.72,1488.23,1500.05,1517.44,1516.0,1570.93,0,1477.49
d. roberts,1483.26,1500.0,1500.0,1500.0,1483.26,1500.0,1500.0,1500.0,0,1483.25
m. bonner,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
yong-il yoon,1517.55,1557.04,1520.55,1467.23,1506.22,1558.37,1500.0,1542.4,0,1517.55
qualifier qualifier1,1508.94,1515.34,1508.2,1500.0,1500.0,1515.18,1500.0,1500.0,0,1484.0
ante pavic,1454.69,1526.67,1469.3,1474.98,1474.56,1513.5,1515.24,1500.0,0,1479.87
anthony ensor,1483.89,1500.0,1500.0,1483.89,1500.0,1500.0,1500.0,1500.0,0,1483.89
derek segal,1434.21,1500.0,1465.98,1500.0,1442.37,1500.0,1500.0,1500.0,0,1434.21
torben ulrich,1447.86,1679.52,1387.07,1535.51,1432.21,1580.98,1602.6,1618.53,0,1447.86
matija zgaga,1516.0,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1516.0
don wilson,1500.47,1516.0,1500.0,1500.0,1500.16,1500.0,1500.0,1516.0,0,1500.47
pascal schaul,1492.65,1504.96,1505.87,1500.0,1484.18,1505.87,1500.0,1500.0,0,1492.65
frithjof prydz,1414.24,1532.0,1406.38,1500.0,1500.0,1532.0,1500.0,1500.0,0,1414.24
filippo veglio,1508.35,1522.78,1500.0,1500.0,1493.33,1500.0,1500.0,1516.18,0,1508.35
borna gojo,1591.18,1684.91,1443.1,1464.27,1628.39,1517.04,1500.0,1685.11,1,1591.18
francisco cerundolo,1793.38,1890.78,1778.7,1480.09,1740.23,1837.48,1570.26,1751.25,1,1793.38
marcelo tomas barrios vera,1472.3,1530.09,1482.99,1492.84,1496.4,1516.09,1500.0,1516.0,0,1472.3
jun-chao xu,1486.61,1500.0,1500.0,1500.0,1486.44,1500.0,1500.0,1500.0,0,1486.61
russell simpson,1564.44,1763.36,1470.92,1546.14,1536.94,1542.5,1662.32,1655.05,0,1564.44
harel levy,1433.09,1733.83,1506.09,1469.36,1434.17,1625.93,1554.53,1652.85,0,1433.09
mahammad abid,1430.1,1500.0,1468.7,1500.0,1454.04,1500.0,1500.0,1500.0,0,1430.1
loucas christophides,1488.28,1500.0,1487.12,1500.0,1500.0,1500.0,1500.0,1500.0,0,1488.28
kenneth thome bolanos,1500.08,1516.0,1501.37,1500.0,1500.0,1516.0,1500.0,1500.0,0,1500.08
richard gallien,1517.12,1518.4,1500.0,1500.0,1513.05,1500.0,1500.0,1515.23,0,1517.12
mert ertunga,1465.34,1500.0,1467.89,1500.0,1500.0,1500.0,1500.0,1500.0,0,1465.34
eduardo velez,1527.88,1533.7,1495.59,1511.2,1511.56,1519.08,1522.41,1518.8,0,1527.88
frank korpas,1500.0,1516.0,1500.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1500.0
alberto mancini,1520.49,1959.11,1527.75,1499.55,1566.14,1906.85,1516.82,1644.8,0,1520.49
jens peter,1511.37,1520.8,1511.03,1500.0,1500.0,1520.24,1500.0,1500.0,0,1511.37
birger folke,1480.31,1500.0,1487.37,1500.0,1486.45,1500.0,1500.0,1500.0,0,1480.31
